"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"Haynes Area","TN","Nashville","Davidson","Nashville",3382,92800,0.00979325353645267,0.0265486725663717,-0.017989417989418,0.00592276566310757,0.0126968690020137,"2007-04","2007-Q2",97900,-0.052093973442288,"2006-07"
2015-02-28,"East Augusta","GA","Augusta","Richmond","Augusta",3383,33300,-0.00597014925373134,-0.00892857142857143,-0.216470588235294,-0.0817206640748961,-0.0446866453567483,"2005-06","2005-Q2",55800,-0.403225806451613,
2015-02-28,"Olympic Manor","WA","Seattle","King","Seattle",3384,694000,0.0140268848626534,0.0353573027002835,0.0566382460414129,0.0373645926989752,0.0292255633767018,"2007-06","2007-Q2",699900,-0.00842977568224032,"2007-05"
2015-02-28,"Alta Vista","CA","San Diego","San Diego","San Diego",3385,371900,0.00785907859078591,0.0284845132743363,0.0848891481913652,0.0907315503820652,-0.0207586502949635,"2005-12","2005-Q4",474700,-0.216557825995365,"2004-05"
2015-02-28,"Arlington","MD","Baltimore","Baltimore City","Baltimore",3386,62300,0.0246710526315789,0.0383333333333333,-0.0891812865497076,-0.0205055041853673,0.0091078346603779,"2007-12","2007-Q4",89100,-0.300785634118967,"2005-06"
2015-02-28,"The Gap","IL","Chicago","Cook","Chicago",3387,267400,-0.0063173541434411,-0.0103626943005181,0.0344294003868472,-0.00710122374614208,-0.011404808538146,"2007-03","2007-Q1",323300,-0.172904423136406,"2003-06"
2015-02-28,"Regina","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3388,184600,0.00217155266015201,0.00709219858156028,0.0584862385321101,0.0160181417693184,-0.00926107658548925,"2006-05","2006-Q2",211000,-0.125118483412322,"2004-03"
2015-02-28,"West Hills","MD","Baltimore","Baltimore City","Baltimore",3389,110500,-0.0133928571428571,-0.0212577502214349,-0.0151515151515152,-0.0485225815881294,0.00993359731952559,"2008-12","2008-Q4",164300,-0.327449786975046,"2005-08"
2015-02-28,"Fairway 164th","WA","Portland","Clark","Vancouver",3390,308100,0.00983284169124877,0.0242686170212766,0.0454699694604683,0.0241855345228286,0.0166119931824811,"2006-08","2006-Q3",338300,-0.0892698788057937,"2006-01"
2015-02-28,"Lourdes","AL","Mobile","Mobile","Mobile",3391,63100,-0.00158227848101266,-0.0109717868338558,0.0516666666666667,-0.0273910301067415,-0.00234660652820007,"2009-09","2009-Q3",77600,-0.186855670103093,"2004-11"
2015-02-28,"Riverdale","AR","Little Rock","Pulaski","Little Rock",3392,222300,0.0263157894736842,0.0929203539823009,-0.0702634880803011,-0.00187870355871655,,"2014-03","2014-Q1",243400,-0.0866885784716516,"2013-08"
2015-02-28,"Woodring","MD","Baltimore","Baltimore City","Baltimore",3393,138700,0,-0.00359195402298851,-0.0368055555555556,-0.039540793691739,0.00901058160022217,"2007-02","2007-Q1",176500,-0.214164305949009,"2005-07"
2015-02-28,"Carver Manor","FL","Jacksonville","Duval","Jacksonville",3394,67800,0.0272727272727273,0.0560747663551402,0.221621621621622,-0.0403410046929991,-0.0266216714608118,"2007-05","2007-Q2",113400,-0.402116402116402,"2002-04"
2015-02-28,"Vilas","WI","Madison","Dane","Madison",3395,415000,0.00532945736434108,0.0121951219512195,0.0498355679230964,0.0287858802427718,0.019654460647538,"2015-02","2015-Q1",415000,0,"2015-02"
